task,score,data_path
Q6,3.0,data/b775a6db-d7b2-4e38-b25b-d0034b2ca502/e77ffe49-a9d2-4700-bf07-583dae2d6fd9/data.csv
Q6,1.83333333333,data/b8f162fd-2091-4590-911c-c2e65e3a509a/fbeabe3a-f302-446d-a88b-3b81a46d1d03/data.csv
Q6,1.66666666667,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/4f94168e-2f48-4192-a246-f60b2f3b23d8/data.csv
Q6,0.0,data/96189820-28d2-4301-ad4e-002a47560289/3678f6e5-725d-49c1-816c-bf6ae6789726/data.csv
Q6,3.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/df7c23ab-a0d1-4bef-b54d-753b7aad2453/data.csv
Q6,1.72222222222,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/ce45103a-2a0a-4be9-9fe0-ceca48712068/data.csv
Q6,2.0,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/4c344d31-fe88-4f6d-945f-b2469b667163/data.csv
Q6,1.70833333333,data/7ef9a217-6f9f-49dc-94be-5dea66e28439/449c015a-0c00-43c3-9a74-58abae187343/data.csv
Q6,0.0,data/98b7da99-f498-473f-9799-af1cec3dcfa2/3770c037-618d-4510-b798-10fb553b55f1/data.csv
Q6,2.0,data/78a72416-b5e9-4d2c-91a7-8ce5d2ad7163/d11ea270-5c49-46d5-b2c7-455854179250/data.csv
Q6,0.0,data/78a72416-b5e9-4d2c-91a7-8ce5d2ad7163/d605d2c3-dc1c-455b-8f88-65a696a7498d/data.csv
Q6,3.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/09a794cb-af93-4ec1-b505-0a6b5f9bd9f5/data.csv
Q6,1.5641025641,data/f00a5ed5-76db-47cb-b7e6-88c4da28a319/7e802527-1a6f-4451-b68a-c8dc7663c954/data.csv
Q6,1.52380952381,data/7348ca13-08a0-43e8-97e5-1dd67bc0d654/de8ecf4f-ca40-49a8-9b24-33bdb1d7fe66/data.csv
Q6,2.0,data/6c173cdd-8294-4653-97e6-1bd80409f8c5/4f4acde2-ab4c-4cf0-98a4-80053f7d2d31/data.csv
Q6,2.0,data/39da5767-d1b4-4691-9567-1298584ad234/86204722-28de-4d9b-a778-6d49f8c8ec5e/data.csv
Q6,0.0,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/384de2a0-fee5-4697-8158-052419afe14e/data.csv
Q6,0.0,data/2f602929-4cd3-4570-9f5b-bb6112507993/1a0c9e0e-b117-4d4c-828e-481984e46713/data.csv
Q6,2.0,data/009c973a-0017-4f90-af0b-73fb9c5411d2/01c2154b-3854-4d30-b5a0-69b4e460b05e/data.csv
Q6,0.0,data/39da5767-d1b4-4691-9567-1298584ad234/2149c4be-b4f5-4b2e-bf9e-e34f7c2772da/data.csv
Q6,2.0,data/7348ca13-08a0-43e8-97e5-1dd67bc0d654/e429e4eb-c92b-4d82-8053-969fe3b81a27/data.csv
Q6,1.51515151515,data/29b42810-d97c-46b4-88fe-360c880bfd67/bcb3c44c-da7b-4f3c-9666-c95ec00c4ae9/data.csv
Q6,1.53623188406,data/7348ca13-08a0-43e8-97e5-1dd67bc0d654/cb94d4f4-7eb9-4a58-8187-6a19b43f4a82/data.csv
Q6,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/1535d16a-cb56-41e9-8fbd-e85c828183d2/data.csv
Q6,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/5ac7c3f1-8c8e-4058-8e94-057af7935009/data.csv
Q6,1.60256410256,data/725ebb69-54dd-4eaf-bf20-e87062642e62/3a786a7f-a667-4fb7-856a-5aa45d3e0209/data.csv
Q6,0.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/d78bb49b-d27d-43e5-8520-7dee0178efa9/data.csv
Q6,1.0,data/c284581c-087e-4d08-9203-40fc3f95c9d7/9b1943e2-933f-4230-be39-e4ca5613e1be/data.csv
Q6,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/e0525c0c-4094-4361-b28a-f242c05551b6/data.csv
Q6,0.0,data/cc74a516-e007-43cd-9167-1ca3abe3f20b/cce04555-1066-4828-b518-475ce5c4aab3/data.csv
Q6,1.47311827957,data/7ef9a217-6f9f-49dc-94be-5dea66e28439/11083557-d121-4479-8371-180d2c3eef63/data.csv
