task,score,data_path,data_url
Q5,1.0,data/8e290f0f-a500-444c-8c6d-6258c730e88d/071f0034-e992-416a-9663-3e6e58e6d180/data.csv,https://www.data.va.gov/sites/default/files/VA-OHE-NVHER_01242017.csv
Q5,0.0,data/7fc0f856-c375-4bd2-b176-64eac72252aa/f3b09206-f4dd-4077-b6b9-132350d6ec3c/data.csv,https://data.ok.gov/sites/default/files/res_research_and_development_investments_-_line_chart_m2af-ed7a.csv
Q5,2.0,data/b0de0d33-e430-4818-b0ef-e252f51a50ff/6fd62d97-9598-4b3b-a145-80ca825fd4e2/data.csv,http://www2.census.gov/acs2012_5yr/pums/csv_pus.zip
Q5,0.0,data/09fbc01a-b2fa-4883-a009-276f50d12e76/be199df4-2bd6-4ce2-8349-fb0f88ff06f8/data.csv,http://www2.census.gov/acs2012_5yr/summaryfile/2008-2012_ACSSF_All_In_2_Giant_Files(Experienced-Users-Only)/Tracts_Block_Groups_Only.tar.gz
Q5,2.0,data/ae1ebaa2-e7f4-4ae0-9797-2809a4c238ef/0f9fa631-125e-45e9-a4cf-8a0e40cee93b/data.csv,https://www.data.va.gov/sites/default/files/Educational%20Attainment.csv
Q5,2.0,data/6260b48d-dd0d-46f0-8d0c-d03eb3f7c359/bf65c41c-2ec0-49ee-a5b3-a9364eca8e1c/data.csv,http://www2.census.gov/acs2012_5yr/summaryfile/2008-2012_ACSSF_All_In_2_Giant_Files(Experienced-Users-Only)/All_Geographies_Not_Tracts_Block_Groups.tar.gz
Q5,3.0,data/bf600061-b45a-4a76-b413-3033cf9e4640/15d4d4bc-e973-4834-8868-f2926092e225/data.csv,http://www2.census.gov/acs2009_5yr/summaryfile/2005-2009_ACSSF_All_In_2_Giant_Files(Experienced-Users-Only)/Tracts_Block_Groups_Only.zip
Q5,1.25,data/725f4a63-8b07-4c0c-bc83-20e079ea21e1/998cba7c-86d5-4321-bbc4-37cb4b277cd2/data.csv,http://www.accessdata.fda.gov/scripts/enforcement/enforce_rpt-Product-Tabs.cfm?action=Expand+Index&w=04012015&lang=eng#devices
Q5,2.0,data/ff579356-8557-4f84-9a99-d17fcd61a115/cd7c6c89-2183-45a8-b608-77d2e33f9fc3/data.csv,https://data.medicaid.gov/api/views/8pny-kgh5/rows.csv?accessType=DOWNLOAD
Q5,1.3,data/2aed6a39-dd44-4108-b1ef-5d5ecc91b064/17ad95ae-00dd-42d8-b2d8-d2e9d8b8c9e8/data.csv,https://www.va.gov/vetdata/docs/Datagov/DataGov_GDX_FY08_State_County.csv
Q5,1.36363636364,data/d5adf5f3-3960-4348-8bae-a9460dbb63d7/5f527f14-328e-4f68-b2da-6791d50feb80/data.csv,https://www.ssa.gov/open/data/program-service-centers.csv
Q5,2.0,data/daa4b908-bcc0-4b7b-8b0a-84d58f998019/6e3a6f92-6bb7-4c90-b580-4f1f4cb17a3c/data.csv,https://data.cdc.gov/api/views/ffbi-is3j/rows.csv?accessType=DOWNLOAD
Q5,2.0,data/16498553-22d9-4597-9aad-d2db6d9fa3f5/62d74b95-7b84-43d1-a35e-c02f08ae5edd/data.csv,http://enterprisecontent-usfs.opendata.arcgis.com/datasets/e4e788be8cfc4d1f8ff280a81ffaa69c_0.csv
Q5,1.38095238095,data/35bcf149-e73f-48c4-9f6a-ae0a646dd84a/97951478-29e4-4bad-a1dc-30b0a9284854/data.csv,https://www.ssa.gov/open/data/Combined-Disability-Processing-Time.csv
