task,score,data_path,data_url
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/2dfad74b-4b84-40dd-9443-3bf47c95d85f/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/88b8a18b-c908-495f-b0ed-edb669cd632e/download/usmonthlyaveragehourlyemissionfactorsfornyliegridsubregion.csv
Q4,3.0,data/1e476dde-8651-4582-b1bf-74a2a24caf2a/bf850a46-82b5-46ef-8bd8-5e4954dc0f51/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57493?Reference=56678
Q4,1.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/6508e425-e030-4de7-a1dd-ed80e367c68c/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/892e41fb-d73b-4aa5-aa96-e0a30f8959d7/download/usmonthlyaveragehourlyemissionfactorsforsrvcegridsubregion.csv
Q4,1.91666666667,data/725ebb69-54dd-4eaf-bf20-e87062642e62/3a786a7f-a667-4fb7-856a-5aa45d3e0209/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/7501dfea-ca32-4de7-b0bb-88a6ee30b91d/download/usmonthlyaveragehourlyemissionfactorsforsrmwegridsubregion.csv
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/d78bb49b-d27d-43e5-8520-7dee0178efa9/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/bbec6ca7-dbc8-44b5-bb74-3a182b422244/download/usmonthlyaveragehourlyemissionfactorsforrfcwegridsubregion.csv
Q4,1.88888888889,data/e716fe53-4b2f-421e-8eef-3cda3889e736/80372d7e-8e66-4279-97b9-429d4c323067/data.csv,https://www.treasury.gov/resource-center/data-chart-center/tic/Documents/bltype_history.csv
Q4,2.0,data/e1e5a5bf-a281-4cb8-870c-145b92266454/b9fa8cfa-1f9c-488b-ac2e-551fab08176d/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57485?Reference=56676
Q4,1.83333333333,data/ca4b1cfe-cfd9-41d1-9122-47b359db0deb/a3fac420-9065-4022-97b3-376f6069068a/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57500?Reference=56680
Q4,1.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/e0525c0c-4094-4361-b28a-f242c05551b6/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/bb6b8664-8256-48f9-a278-b57c8770cf0f/download/usmonthlyaveragehourlyemissionfactorsforcamxegridsubregion.csv
Q4,1.0,data/2a41cd7c-6a23-4937-9895-6b4d6ce32fa8/891f92e9-1932-4124-9b89-21ca26cc9baa/data.csv,https://chronicdata.cdc.gov/views/ffbi-is3j/rows.csv?accessType=DOWNLOAD
Q4,1.69696969697,data/725ebb69-54dd-4eaf-bf20-e87062642e62/5ac7c3f1-8c8e-4058-8e94-057af7935009/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/4e5dc7c5-e040-4b75-b559-38832b32a6a2/download/usmonthlyaveragehourlyemissionfactorsforsrtvegridsubregion.csv
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/1535d16a-cb56-41e9-8fbd-e85c828183d2/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/5cf53658-9ac0-4cbb-9760-a0f4dbf2bb4a/download/usmonthlyaveragehourlyemissionfactorsforsrmvegridsubregion.csv
Q4,1.69230769231,data/86988cc7-6914-442b-a441-d9a7c8aa732d/7e6fb1a8-b8b3-473f-a1f4-467a3c229cc3/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57490?Reference=56677
Q4,0.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/35f9b183-ea04-435c-a05f-f7bd5585e0b5/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/bd061d35-e219-4a1d-a538-0357b7e89f82/download/usmonthlyaveragehourlyemissionfactorsfornycwegridsubregion.csv
Q4,0.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/b310188c-f711-46f1-aac9-c6098ed91fde/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/35dd2319-f052-49d4-9ad5-dff7065a0f3f/download/usmonthlyaveragehourlyemissionfactorsforspnoegridsubregion.csv
Q4,1.0,data/5d781a06-c7d5-4924-928c-93138c278017/1cbe2b9f-3939-420a-aef0-abbaee9e36b4/data.csv,https://www.treasury.gov/resource-center/data-chart-center/tic/Documents/bctype.csv
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/df7c23ab-a0d1-4bef-b54d-753b7aad2453/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/fa8c15a0-c7c9-42a1-a49c-42ede4372de2/download/usmonthlyaveragehourlyemissionfactorsfornyupegridsubregion.csv
Q4,1.48148148148,data/725ebb69-54dd-4eaf-bf20-e87062642e62/d0e2f012-3a6a-4f04-81b3-097029f2f335/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/0bb66815-5cfd-4fd2-93f1-747ad7608442/download/usmonthlyaveragehourlyemissionfactorsforerctegridsubregion.csv
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/9942e406-faf0-4f1e-8260-f35b4032e2a9/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/5bfadcec-95c5-4535-82ae-ecd731aa17a3/download/usmonthlyaveragehourlyemissionfactorsforspsoegridsubregion.csv
Q4,1.48333333333,data/e716fe53-4b2f-421e-8eef-3cda3889e736/1f71b51c-2203-426d-9043-fbf306f828c7/data.csv,https://www.treasury.gov/resource-center/data-chart-center/tic/Documents/bltype.csv
Q4,1.46031746032,data/daa4b908-bcc0-4b7b-8b0a-84d58f998019/6e3a6f92-6bb7-4c90-b580-4f1f4cb17a3c/data.csv,https://data.cdc.gov/api/views/ffbi-is3j/rows.csv?accessType=DOWNLOAD
Q4,1.43939393939,data/725ebb69-54dd-4eaf-bf20-e87062642e62/b33a4f41-ca95-4332-b971-c838211469ea/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/3c008d7b-de25-436b-88b1-11d6540946a1/download/usmonthlyaveragehourlyemissionfactorsformroeegridsubregion.csv
Q4,1.44927536232,data/725ebb69-54dd-4eaf-bf20-e87062642e62/09a794cb-af93-4ec1-b505-0a6b5f9bd9f5/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/b7aeaba9-0f43-435b-aca7-fc048a251a7f/download/usmonthlyaveragehourlyemissionfactorsfornwppegridsubregion.csv
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/9966359e-65d6-4dd1-8e20-620ce054460c/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/6a2aebfe-e84f-4e8d-8b8c-8036fb372433/download/usmonthlyaveragehourlyemissionfactorsforfrccegridsubregion.csv
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/39521bbe-4b48-4d41-b038-2085a88c4abf/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/d5ac652b-8f8a-4a8e-a92f-916f165d7756/download/usmonthlyaveragehourlyemissionfactorsforrfceegridsubregion.csv
Q4,2.0,data/e1e5a5bf-a281-4cb8-870c-145b92266454/af19a3f3-ba76-49b8-964f-0f9e57589cc1/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57484?Reference=56676
Q4,1.45679012346,data/5d781a06-c7d5-4924-928c-93138c278017/da092023-9b86-4ab6-97a8-aed3533530e3/data.csv,https://www.treasury.gov/resource-center/data-chart-center/tic/Documents/bctype_history.csv
Q4,1.46428571429,data/725ebb69-54dd-4eaf-bf20-e87062642e62/df0d769e-c3e2-42fc-b198-643e03ca0381/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/0aba4ef9-53b0-41d8-be79-3cd74d4af237/download/usmonthlyaveragehourlyemissionfactorsforsrsoegridsubregion.csv
Q4,1.0,data/86988cc7-6914-442b-a441-d9a7c8aa732d/c849bd62-3125-49b2-8878-a04c01ec0edc/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57489?Reference=56677
Q4,1.43333333333,data/c8a3fab3-18bf-4758-b511-1008371be0ee/664eed72-ed0b-4445-93f1-b3a96935ea02/data.csv,http://doi.org/10.3886/ICPSR26921.v1
Q4,1.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/d81e2478-351b-44f6-a3da-b800e2121bd9/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/8e640c8d-ae5d-4e6a-9316-a65f9befddc1/download/usmonthlyaveragehourlyemissionfactorsforaznmegridsubregion.csv
Q4,1.4375,data/1e476dde-8651-4582-b1bf-74a2a24caf2a/6e59d549-73c5-4088-afc3-6874d7436f48/data.csv,https://ecos.fws.gov/ServCat/DownloadFile/57492?Reference=56678
Q4,2.0,data/725ebb69-54dd-4eaf-bf20-e87062642e62/95cf19e5-7e8a-4321-bbd9-623992b94d5a/data.csv,https://openei.org/doe-opendata/dataset/b328f92b-3c91-49af-b08a-96852f9ebb25/resource/2e8027e4-1db3-4acb-8021-949b9db630d1/download/usmonthlyaveragehourlyemissionfactorsforrmpaegridsubregion.csv
