task,score,data_path
Q2,3.0,data/8f1f97cd-fa3e-4af7-a68f-0d00594c5142/b2c5ac64-9d22-4df2-833f-3ffea44f9275/data.csv
Q2,3.0,data/36cc7857-1145-4d6b-93a6-39321820f0e3/5d25a043-79c5-4ba9-9a67-32c2dfbc5231/data.csv
Q2,1.0,data/18916e10-b5fc-4aa7-8198-c29d193a9488/c27431dd-d4a5-457f-8418-e85e898ac449/data.csv
Q2,1.58333333333,data/8f9ea080-e7c7-46ec-a007-c0290cd32464/9c904451-6e39-4b02-a685-f537ed2783f8/data.csv
Q2,2.0,data/54cff3bf-776b-4f01-80dd-1495e3710f87/263e7556-2f2e-4836-8873-46c5a5472543/data.csv
Q2,3.0,data/c72d7fb9-65aa-4d3c-8563-66652a95a488/8dad4d8c-0901-40c7-ad03-4c46a65066e2/data.csv
Q2,1.0,data/24970734-7065-451c-998b-17d7002d07b3/b312110f-8c02-4b63-a2e8-2789b82c34c4/data.csv
Q2,1.0,data/6c7d84b3-ef26-4323-a069-253b5be3dfdd/ea244f2d-a52b-4a18-b5c3-9b825be3f8c0/data.csv
Q2,3.0,data/44dda2ce-a947-4f5e-aafb-609d36c7bb89/a29470ad-6290-4625-95ac-7852a4fa5f9b/data.csv
Q2,1.0,data/1b57c8f4-9b7d-4a64-b141-251d352b6d41/32689612-ded2-4f3e-830e-9c78b8aaea58/data.csv
Q2,1.0,data/d413a938-0c3f-4146-850d-47c3efa108d0/ac33650f-d0bc-4265-97c0-80727021c15f/data.csv
Q2,3.0,data/d7b6a53d-4b6c-4149-898b-5be6d298fac0/e1f53e4d-e83f-44ec-bd8d-2f29f7ba5a1e/data.csv
Q2,2.0,data/a6b39ac1-a019-4c81-9690-f8380079539d/55bca1c6-1778-435a-9a9c-dc2a6bee0b90/data.csv
Q2,2.0,data/7bb8ab25-69da-4367-878a-9ac268ba8013/88656ce6-8389-4d01-a98b-7e490bed4f71/data.csv
Q2,1.71111111111,data/9fbee1d0-f769-42a0-9162-f9188297c404/cf8828ca-a542-4706-994f-2265605f335e/data.csv
Q2,1.72916666667,data/270af961-1c68-4af7-a3bc-caeac4aefa59/f3810ff3-9974-4f7e-a1e5-17a4b4a6ad5b/data.csv
Q2,1.0,data/d8a591cd-e912-4451-9a96-0d54d92ea204/5397b109-2913-4b50-9976-7c927f470b08/data.csv
Q2,2.0,data/ba61fdc4-73d9-41a6-8e67-07d094152e80/b9b0e388-9c90-41ab-8ecb-7f16dc3ee94d/data.csv
Q2,1.70175438596,data/e240632f-80a4-4431-a902-00994cf9969c/b644aa96-b25a-4260-9ea4-ac8d23cfea12/data.csv
Q2,0.0,data/da906731-35c7-4a8b-8547-79b739c7f7cc/99811ee0-912e-4d57-9d7a-6fa8de08e32b/data.csv
Q2,2.0,data/7c2bfe2c-95aa-4ce1-9444-f4eb05a0f6e6/50b460cd-8c90-4a0f-86ce-c16daad411a7/data.csv
Q2,2.0,data/4de9797a-aadc-487b-b634-f648a26c0c5b/1953fb93-8d52-45e0-8f9c-9079afc78f0c/data.csv
Q2,2.0,data/e2ca5422-5f1b-4eb2-b440-922b70b9becd/e42e996b-b045-42ba-b673-e94a497cd511/data.csv
Q2,2.0,data/192a0e86-cab0-4e15-99af-1a39470cae53/6956ae37-6af3-43ac-9207-8a0561e05f7b/data.csv
Q2,2.0,data/9d762f23-7d95-4bed-9c5e-6994edf5afb8/58dc8758-fadc-4517-8539-7ff87811af1c/data.csv
Q2,1.60256410256,data/68921a6d-3b4d-49d3-98b8-0d6b54e545ec/9a070b16-1164-4414-8186-a86ca31d1586/data.csv
Q2,2.0,data/027bac1b-0b89-494a-b1bd-8cf6aecbb0d1/0a9b24fe-a80c-46aa-9d17-ce8e7153f623/data.csv
Q2,3.0,data/0afeeb05-9864-4f96-bf26-ea8330da0f6e/8b11e634-db15-46d0-a5d8-443e703cf3f4/data.csv
Q2,3.0,data/cc787e70-c040-4db9-9344-e24c0caa5180/a2365fc6-cfe9-40e8-af70-4cee984e7665/data.csv
Q2,1.0,data/b7fcbf42-3646-4865-bc98-d48d20efdf19/c6636f26-3bf4-447f-b9ca-1e78731c41b7/data.csv
Q2,1.62365591398,data/81b721d8-b580-433c-a9d2-8f6a33f5a03e/73e7affa-8404-419f-8dae-9b6ab7a82fe8/data.csv
Q2,1.60416666667,data/ce8d6c0d-0c28-40fa-b445-0421f2c92204/79ee4955-ae64-409c-8529-59b6a6386fb5/data.csv
Q2,1.58585858586,data/a5171f5b-495b-4cde-bb5c-436a41084337/68f0729c-347b-4165-8a75-1b6b245ebb7c/data.csv
Q2,0.0,data/1b99875d-5b96-4651-af02-493f2be95076/37331831-21df-493e-a3f9-0330198ebd0a/data.csv
Q2,3.0,data/2d6ec200-e98d-4f52-bb38-b367d0714808/c34c95e4-060c-4c43-8d8d-e6731630378b/data.csv
Q2,3.0,data/cf16837f-d76a-4399-b282-515076c772b8/c3940f9d-cb1c-4235-9a86-41ba2b218d41/data.csv
Q2,1.6036036036,data/1a714604-e932-4036-a240-e0f5bb63ecf0/b1bb01dd-d8c9-41eb-bb4b-841932782fed/data.csv
Q2,2.0,data/c3cbc8b9-bb85-4ab9-82ea-b0aadbe53530/fc544be1-3eee-46e9-b9b4-8e309e0f0a7b/data.csv
Q2,3.0,data/59290a5f-63f8-4033-b7d7-c190510a3060/72e233a7-fb56-4366-9892-c28be0637b84/data.csv
Q2,1.0,data/6dbe8ea1-bcc7-4b97-b109-10c504ad6d2f/e2d448ef-1f05-4cdb-bb42-c783e904068f/data.csv
Q2,2.0,data/659a9f24-d845-4b8c-b5ee-17bcefae4b07/34150361-c106-4b6e-8910-933585c8c07a/data.csv
Q2,1.61904761905,data/fefea7a0-98b8-48be-9ded-e2d9589ce08b/2d4460bf-6bef-4cc1-ad55-a8ee75aea59c/data.csv
Q2,1.61240310078,data/3f1e03d4-c18f-4fe2-af9a-237d5eb8cef2/67ba9b7d-7434-479c-a9f4-34cfe19fa078/data.csv
Q2,1.62121212121,data/4b2b05c2-c63a-4a21-97e1-7b460bb0072c/2e4e8e51-0bc5-4b08-a2d3-5f02c6c5ff76/data.csv
